dataset,explain_graph,explainer_name,true_label_as_target,hard_mask,seed,gnn_train_scores__prec,gnn_train_scores__recall,gnn_train_scores__f1-score,gnn_train_scores__acc,gnn_train_scores__roc_auc,gnn_test_scores__prec,gnn_test_scores__recall,gnn_test_scores__f1-score,gnn_test_scores__acc,gnn_test_scores__roc_auc,initial_edge_mask_infos__mask_size,initial_edge_mask_infos__mask_entropy,initial_edge_mask_infos__max_avg,infos__dataset,infos__explainer,infos__number_of_edges,infos__num_test,infos__num_test_final,infos__groundtruth target,infos__time,infos__edge_mask_sparsity_init,infos__edge_mask_size_init,transformed_mask_infos__mask_entropy,transformed_mask_infos__mask_size,transformed_mask_infos__max_avg,transformed_mask_infos__topk,fidelity__fidelity_acc+,fidelity__fidelity_acc-,fidelity__fidelity_prob+,fidelity__fidelity_prob-,fidelity__topk,fidelity__fidelity_gnn_acc+,fidelity__fidelity_gnn_acc-,fidelity__fidelity_gnn_prob+,fidelity__fidelity_gnn_prob-
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,0.0,1.0,1.0,1,0.4,1.0,-0.16634191572666168,-0.26136335730552673,1,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,1.6094379124333924,5.0,0.9999972106913612,5,0.4,1.0,-0.16634191572666168,-0.26136335730552673,5,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,2.302585092991772,10.0,0.9999945256456411,10,0.4,1.0,-0.16634191572666168,-0.26136335730552673,10,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,2.708050201097509,15.0,0.9999928678686076,15,0.4,1.0,-0.16634191572666168,-0.26136335730552673,15,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,2.9957322735457477,20.0,0.9999908890281788,20,0.4,1.0,-0.16634191572666168,-0.26136335730552673,20,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,3.2188758248557336,25.0,0.9999886362242891,25,0.4,1.0,-0.16634191572666168,-0.26136335730552673,25,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,3.9120230053807266,50.0,0.9999778791983336,50,0.4,1.0,-0.16634191572666168,-0.26136335730552673,50,,,,
ebay_small,False,random,True,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0103,0.0009999465226872561,1513146.42,4.605170185804052,100.0,0.9999570298391189,100,0.4,1.0,-0.16634191572666168,-0.26136335730552673,100,,,,
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,0.0,1.0,1.0,1,,,,,1,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,1.6094379124333924,5.0,0.9999972106913612,5,,,,,5,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,2.302585092991772,10.0,0.9999945256456411,10,,,,,10,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,2.708050201097509,15.0,0.9999928678686076,15,,,,,15,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,2.9957322735457477,20.0,0.9999908890281788,20,,,,,20,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,3.2188758248557336,25.0,0.9999886362242891,25,,,,,25,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,3.9120230053807266,50.0,0.9999778791983336,50,,,,,50,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,False,True,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,False,0.0103,0.0009999465226872561,1513146.42,4.605170185804052,100.0,0.9999570298391189,100,,,,,100,0.4,1.0,0.18354995548725128,0.26657208800315857
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0114,0.0009999465226872561,1513146.42,0.0,1.0,1.0,1,0.38,1.0,-0.17069321870803833,-0.26136335730552673,1,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0114,0.0009999465226872561,1513146.42,1.6094379124333924,5.0,0.9999972106913612,5,0.38,1.0,-0.17069321870803833,-0.26136335730552673,5,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0114,0.0009999465226872561,1513146.42,2.302585092991772,10.0,0.9999945256456411,10,0.38,1.0,-0.17069321870803833,-0.26136335730552673,10,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0114,0.0009999465226872561,1513146.42,2.708050201097509,15.0,0.9999928678686076,15,0.38,1.0,-0.17069321870803833,-0.26136335730552673,15,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0114,0.0009999465226872561,1513146.42,2.9957322735457477,20.0,0.9999908890281788,20,0.38,1.0,-0.17069321870803833,-0.26136335730552673,20,,,,
ebay_small,False,random,True,False,0,0.5619207978578572,0.6885011348720045,0.5881861756831832,0.9509774928111648,0.6885011348720046,0.5659954573709304,0.6959206894734271,0.5940054058098144,0.953164861612515,0.6959206894734271,1513146.42,14.037526262739684,0.46483604767707815,ebay_small,random,1514661,100,100,True,0.0114,0.0009999465226872561,1513146.42,3.2188758248557336,25.0,0.9999886362242891,25,0.38,1.0,-0.17069321870803833,-0.26136335730552673,25,,,,
